lat,lon,name,kind,category
55.6892934,12.5578332,Ølbaren,pub,amenity
55.6902172,12.5639074,Nørrebro Bryghus Restaurant,restaurant,amenity
55.6928608,12.5992622,Den lille Havfrue,artwork,tourism
55.6919540,12.5558180,Empire Bio,cinema,amenity
55.6834082,12.5651843,Bankeråt,pub,amenity
55.6705905,12.5708002,Cabinn City,hotel,tourism
55.6864894,12.5874331,Black Swan,bar,amenity
55.6736632,12.5921433,Café Stærkodder,pub,amenity
55.6723644,12.5622548,Meininger Hotel Copenhagen,hotel,tourism
55.6971586,12.5382153,OK - Lundtoftegade,fuel,amenity
55.6908587,12.5394153,,post_box,amenity
55.6947945,12.5446353,,post_box,amenity
55.6920384,12.5403896,,parking,amenity
55.6911339,12.5394843,,parking,amenity
55.6937922,12.5327584,,atm,amenity
55.6934753,12.5329904,,atm,amenity
55.6781934,12.5763979,Royal,bakery,shop
55.6844609,12.5594799,Thai Pan,restaurant,amenity
55.6742501,12.5730625,Rio Bravo,restaurant,amenity
55.6608034,12.6147721,Copenhagen CitySwingers,swingerclub,amenity
55.6629834,12.6385889,,toilets,amenity
55.6727304,12.5616092,Kakadu Bar,nightclub,amenity
55.6774749,12.5608841,Q8,fuel,amenity
55.6703745,12.5598365,Station City,police,amenity
55.6696025,12.5551472,Konya Kebab,fast_food,amenity
55.6697106,12.5547131,Sticks'n'Sushi,restaurant,amenity
55.6818017,12.5310926,,parking,amenity
55.6864868,12.5331887,,post_box,amenity
55.6874561,12.5301684,Thai Away,fast_food,amenity
55.6764661,12.5695482,Burger King,fast_food,amenity
55.6795540,12.5507497,Biblioteket Danasvej,library,amenity
55.6795619,12.5503985,Cab-Inn,hotel,tourism
55.6808153,12.5555225,Cab-Inn Scandinavia,hotel,tourism
55.6752481,12.5612896,Nordisk Film Biografer Imperial,cinema,amenity
55.6763516,12.5664052,Dagmar,cinema,amenity
55.6817592,12.5343154,Café Moccador,cafe,amenity
55.6719838,12.5540534,Vester Vov Vov,cinema,amenity
55.6618737,12.5614394,,parking,amenity
55.6629630,12.5623836,CinemaxX,cinema,amenity
55.6626409,12.6040080,,parking,amenity
55.6770916,12.5321190,Cafe Intime,pub,amenity
55.6752681,12.5328906,Alléenberg,pub,amenity
55.6764656,12.5710077,Grand Teatret,cinema,amenity
55.6761121,12.5706741,Gloria,cinema,amenity
55.6766107,12.5366472,Edison,theatre,amenity
55.6742295,12.5399431,Promenaden,pub,amenity
55.6797158,12.5547729,,post_box,amenity
55.6746826,12.5486274,,post_box,amenity
55.6768556,12.5390144,,post_box,amenity
55.6848269,12.5378087,,post_box,amenity
55.6800316,12.5484121,,post_box,amenity
55.6786040,12.5320956,,post_box,amenity
55.6760273,12.5428021,Lån og Spar Bank & Rådgivningscenter Frederiksberg,bank,amenity
55.6856353,12.5376527,Viet Nam Nam,restaurant,amenity
55.6740704,12.5496175,Café Viggo,cafe,amenity
55.6855209,12.5382279,London Pub,pub,amenity
55.6862043,12.5343588,Green Kitchen,fast_food,amenity
55.6801592,12.5313466,Falkoner Biografen,cinema,amenity
